0.20	0.10	-341328.973214973463
0.20	0.12	-341325.010897495202
0.20	0.14	-341321.831779132539
0.20	0.16	-341319.301766525372
0.20	0.18	-341317.351882969029
0.20	0.20	-341315.967045220663
0.20	0.22	-341315.194471420778
0.22	0.10	-341328.095377336023
0.22	0.12	-341324.255693873798
0.22	0.14	-341321.163008438365
0.22	0.16	-341318.688668346906
0.22	0.18	-341316.766222546226
0.22	0.20	-341315.380693676881
0.22	0.22	-341314.576616874430
0.24	0.10	-341327.462581951462
0.24	0.12	-341323.732494111115
0.24	0.14	-341320.717744124879
0.24	0.16	-341318.294527011923
0.24	0.18	-341316.398663930304
0.24	0.20	-341315.015324712265
0.24	0.22	-341314.186735695926
0.26	0.10	-341327.027793459361
0.26	0.12	-341323.396220291732
0.26	0.14	-341320.452119359630
0.26	0.16	-341318.076059501735
0.26	0.18	-341316.205927877571
0.26	0.20	-341314.827067082049
0.26	0.22	-341313.979681855650
0.28	0.10	-341326.754027859773
0.28	0.12	-341323.211482623999
0.28	0.14	-341320.331739285146
0.28	0.16	-341317.999356474844
0.28	0.18	-341316.154117629980
0.28	0.20	-341314.781553196139
0.28	0.22	-341313.920070497436
0.30	0.10	-341326.611801044550
0.30	0.12	-341323.150116704055
0.30	0.14	-341320.329269993294
0.30	0.16	-341318.037493810407
0.30	0.18	-341316.216326634516
0.30	0.20	-341314.851495017530
0.30	0.22	-341313.979787066288
0.32	0.10	-341326.577351160930
0.32	0.12	-341323.189467292279
0.32	0.14	-341320.422758247645
0.32	0.16	-341318.168868340203
0.32	0.18	-341316.370972299599
0.32	0.20	-341315.014996733982
0.32	0.22	-341314.136254964862
0.34	0.10	-341326.631365142239
0.34	0.12	-341323.311158595316
0.34	0.14	-341320.594427463540
0.34	0.16	-341318.376005458180
0.34	0.18	-341316.600602575578
0.34	0.20	-341315.254346853995
0.34	0.22	-341314.371196299733
0.36	0.10	-341326.758043837268
0.36	0.12	-341323.500191419444
0.36	0.14	-341320.829793733777
0.36	0.16	-341318.644683781313
0.36	0.18	-341316.891020065639
0.36	0.20	-341315.555132008158
0.36	0.22	-341314.669723168539
