0.08	0.10	-341317.275580540940
0.08	0.12	-341309.199930265080
0.08	0.14	-341302.664861613128
0.08	0.16	-341297.414096844383
0.08	0.18	-341293.317564002937
0.08	0.20	-341290.352645344276
0.08	0.22	-341288.625135705108
0.10	0.10	-341313.980921295821
0.10	0.12	-341306.416342957236
0.10	0.14	-341300.241848588572
0.10	0.16	-341295.228753792820
0.10	0.18	-341291.260019474663
0.10	0.20	-341288.314165935328
0.10	0.22	-341286.484558945056
0.12	0.10	-341311.595614821767
0.12	0.12	-341304.474440048682
0.12	0.14	-341298.620253337082
0.12	0.16	-341293.826266625139
0.12	0.18	-341289.986199872335
0.12	0.20	-341287.080210980086
0.12	0.22	-341285.192974150297
0.14	0.10	-341309.870929519064
0.14	0.12	-341303.140464420023
0.14	0.14	-341297.574378106860
0.14	0.16	-341292.983605090645
0.14	0.18	-341289.270827584900
0.14	0.20	-341286.417954889126
0.14	0.22	-341284.503236918245
0.16	0.10	-341308.644147273619
0.16	0.12	-341302.261671734042
0.16	0.14	-341296.956895542098
0.16	0.16	-341292.555321358959
0.16	0.18	-341288.967150748998
0.16	0.20	-341286.175974474521
0.16	0.22	-341284.255057149567
0.18	0.10	-341307.802430635202
0.18	0.12	-341301.732314900320
0.18	0.14	-341296.665946904162
0.18	0.16	-341292.440965104674
0.18	0.18	-341288.973921020981
0.18	0.20	-341286.249932665611
0.18	0.22	-341284.338222513674
0.20	0.10	-341307.264127350121
0.20	0.12	-341301.476041768503
0.20	0.14	-341296.628119665256
0.20	0.16	-341292.568234056933
0.20	0.18	-341289.218333824305
0.20	0.20	-341286.564877671539
0.20	0.22	-341284.673680128704
0.22	0.10	-341306.968211084837
0.22	0.12	-341301.435947745107
0.22	0.14	-341296.788826369448
0.22	0.16	-341292.883453821298
0.22	0.18	-341289.646398262354
0.22	0.20	-341287.065268072416
0.22	0.22	-341285.202906594495
0.24	0.10	-341306.867910824949
0.24	0.12	-341301.568569602794
0.24	0.14	-341297.106493004831
0.24	0.16	-341293.345828094461
0.24	0.18	-341290.217125939962
0.24	0.20	-341287.708963997895
0.24	0.22	-341285.881523255841
