0.24	0.0001	-341320.920084610581
0.24	0.002	-341320.541071543703
0.24	0.004	-341320.395464582485
0.24	0.006	-341320.387929865392
0.24	0.008	-341320.475885383959
0.24	0.010	-341320.642061151215
0.24	0.020	-341322.267527493997
0.26	0.0001	-341320.199423088867
0.26	0.002	-341319.818381622958
0.26	0.004	-341319.661120952223
0.26	0.006	-341319.637855339795
0.26	0.008	-341319.707267436024
0.26	0.010	-341319.852335373987
0.26	0.020	-341321.430582599831
0.28	0.0001	-341319.690213277936
0.28	0.002	-341319.308639919851
0.28	0.004	-341319.141805466090
0.28	0.006	-341319.105141632259
0.28	0.008	-341319.158592771390
0.28	0.010	-341319.285431369906
0.28	0.020	-341320.822106500622
0.30	0.0001	-341319.354000982363
0.30	0.002	-341318.973118576687
0.30	0.004	-341318.798456538469
0.30	0.006	-341318.750357124547
0.30	0.008	-341318.790015832055
0.30	0.010	-341318.901032793568
0.30	0.020	-341320.400861692091
0.32	0.0001	-341319.159883148910
0.32	0.002	-341318.780696434435
0.32	0.004	-341318.599684953573
0.32	0.006	-341318.541815929580
0.32	0.008	-341318.569519973826
0.32	0.010	-341318.666748668416
0.32	0.020	-341320.133732572373
0.34	0.0001	-341319.082783811493
0.34	0.002	-341318.706121001276
0.34	0.004	-341318.520019463205
0.34	0.006	-341318.453805131954
0.34	0.008	-341318.471123763360
0.34	0.010	-341318.556295132497
0.34	0.020	-341319.993855248438
0.36	0.0001	-341319.102201336354
0.36	0.002	-341318.728745921981
0.36	0.004	-341318.538632787706
0.36	0.006	-341318.465297928196
0.36	0.008	-341318.473579450918
0.36	0.010	-341318.548176748620
0.36	0.020	-341319.959262899763
0.38	0.0001	-341319.201277522603
0.38	0.002	-341318.831593082519
0.38	0.004	-341318.638395496528
0.38	0.006	-341318.558998286026
0.38	0.008	-341318.559407118824
0.38	0.010	-341318.624708378280
0.38	0.020	-341320.011882196937
0.40	0.0001	-341319.366091831704
0.40	0.002	-341319.000641725142
0.40	0.004	-341318.805159100390
0.40	0.006	-341318.720617283951
0.40	0.008	-341318.714163329510
0.40	0.010	-341318.771274868399
0.40	0.020	-341320.136774590646
